Time,Signal
0.0,0.0
0.001,0.2511930767441967
0.002,0.5015807397515395
0.003,0.7503605703942026
0.004,0.9967361286231728
0.005,1.2399199132053038
0.006,1.4791362872254832
0.007,1.713624357488303
0.008,1.9426407966348558
0.009000000000000001,2.1654625970154484
0.01,2.381389745627314
0.011,2.5897478097366515
0.012,2.789890423155422
0.013000000000000001,2.9812016635337955
0.014,3.163098311457513
0.015,3.3350319826039354
0.016,3.4964911247094754
0.017,3.647002871632334
0.018000000000000002,3.7861347473560523
0.019,3.913496213369015
0.02,4.028740053470407
0.021,4.131563590691846
0.022,4.221709731683445
0.023,4.298967834590737
0.024,4.363174397142192
0.025,4.414213562373095
0.026000000000000002,4.452017440127637
0.027,4.476566243204353
0.028,4.487888237737645
0.029,4.486059508137274
0.03,4.471203537635356
0.031,4.443490606213878
0.032,4.403137008402089
0.033,4.350404094139478
0.034,4.285597136593772
0.035,4.209064031501578
0.036000000000000004,4.121193833259407
0.037,4.022415133632197
0.038,3.9131942895625693
0.039,3.794033507154521
0.04,3.6654687894677265
0.041,3.528067756290876
0.042,3.382427344562408
0.043000000000000003,3.2291713985727126
0.044,3.068948159511412
0.045,2.902427664315118
0.046,2.7302990641235203
0.047,2.5532678729633336
0.048,2.3720531575494554
0.049,2.187384679319404
0.05,2.0000000000000004
0.051000000000000004,1.8106415621435232
0.052000000000000005,1.6200537561636301
0.053,1.4289799854489869
0.054,1.238159741134392
0.055,1.0483256980654336
0.056,0.8602008434033437
0.057,0.6744956491822767
0.058,0.49190529995211607
0.059000000000000004,0.3131069864168958
0.06,0.1387572757128881
0.061,-0.030510431337617883
0.062,-0.19408834600956348
0.063,-0.3513966308962715
0.064,-0.501885623395329
0.065,-0.6450379347481061
0.066,-0.780370416418319
0.067,-0.9074359861237036
0.068,-1.0258253063940292
0.069,-1.1351683091156308
0.07,-1.2351355601355656
0.07100000000000001,-1.325439458634513
0.07200000000000001,-1.4058352666344875
0.073,-1.476121964682514
0.074,-1.536142930441991
0.075,-1.5857864376269049
0.076,-1.6249859734274368
0.077,-1.6537203732961299
0.078,-1.6720137726886863
0.079,-1.6799353760799405
0.08,-1.6775990443005144
0.081,-1.6651627019604927
0.082,-1.6428275674400654
0.083,-1.6108372086308478
0.084,-1.5694764283026146
0.085,-1.519069983645749
0.08600000000000001,-1.4599811451972222
0.08700000000000001,-1.3926101009946732
0.088,-1.3173922124167103
0.089,-1.2347961287554876
0.09,-1.1453217681275247
0.091,-1.0494981728585324
0.092,-0.9478812479754365
0.093,-0.8410513919021336
0.094,-0.7296110288825842
0.095,-0.6141820530443809
0.096,-0.49540319436595526
0.097,-0.3739273171201453
0.098,-0.25041866163428683
0.099,-0.12555004043168333
0.1,-4.898587196589412e-16
0.101,0.1255500404316841
0.10200000000000001,0.2504186616342859
0.10300000000000001,0.37392731712014615
0.10400000000000001,0.49540319436595615
0.105,0.61418205304438
0.106,0.7296110288825834
0.107,0.8410513919021327
0.108,0.9478812479754356
0.109,1.0494981728585313
0.11,1.1453217681275243
0.111,1.234796128755487
0.112,1.31739221241671
0.113,1.3926101009946728
0.114,1.4599811451972227
0.115,1.519069983645748
0.116,1.5694764283026146
0.117,1.6108372086308478
0.11800000000000001,1.6428275674400656
0.11900000000000001,1.6651627019604933
0.12,1.677599044300514
0.121,1.6799353760799403
0.122,1.6720137726886863
0.123,1.65372037329613
0.124,1.624985973427437
0.125,1.585786437626905
0.126,1.5361429304419918
0.127,1.4761219646825146
0.128,1.4058352666344869
0.129,1.3254394586345124
0.13,1.2351355601355662
0.131,1.1351683091156317
0.132,1.0258253063940272
0.133,0.9074359861237029
0.134,0.7803704164183178
0.135,0.6450379347481077
0.136,0.5018856233953262
0.137,0.3513966308962706
0.138,0.19408834600956237
0.139,0.030510431337617883
0.14,-0.13875727571288698
0.14100000000000001,-0.3131069864168994
0.14200000000000002,-0.4919052999521185
0.14300000000000002,-0.674495649182278
0.14400000000000002,-0.8602008434033435
0.145,-1.0483256980654319
0.146,-1.238159741134389
0.147,-1.4289799854489829
0.148,-1.6200537561636261
0.149,-1.810641562143523
0.15,-1.999999999999999
0.151,-2.1873846793194014
0.152,-2.372053157549453
0.153,-2.55326787296333
0.154,-2.73029906412352
0.155,-2.902427664315117
0.156,-3.068948159511409
0.157,-3.22917139857271
0.158,-3.3824273445624087
0.159,-3.528067756290876
0.16,-3.6654687894677256
0.161,-3.7940335071545186
0.162,-3.91319428956257
0.163,-4.022415133632197
0.164,-4.121193833259406
0.165,-4.209064031501578
0.166,-4.285597136593774
0.167,-4.350404094139479
0.168,-4.403137008402089
0.169,-4.443490606213878
0.17,-4.471203537635355
0.171,-4.4860595081372745
0.17200000000000001,-4.487888237737645
0.17300000000000001,-4.476566243204353
0.17400000000000002,-4.452017440127637
0.17500000000000002,-4.414213562373094
0.176,-4.363174397142192
0.177,-4.298967834590739
0.178,-4.221709731683448
0.179,-4.131563590691846
0.18,-4.028740053470408
0.181,-3.913496213369017
0.182,-3.786134747356054
0.183,-3.647002871632337
0.184,-3.4964911247094763
0.185,-3.335031982603937
0.186,-3.1630983114575146
0.187,-2.9812016635337995
